Name	lncRNA_cluster_pelayo_combat_333_k4	ENSG00000279322.1	ENSG00000280416.1	ENSG00000204832.9	ENSG00000251321.1	ENSG00000262533.1	ENSG00000257764.2	ENSG00000176868.2	ENSG00000231150.5	ENSG00000227418.6	ENSG00000223400.1	ENSG00000229370.1	ENSG00000278626.1	ENSG00000262831.1	ENSG00000269246.1	ENSG00000230937.9	ENSG00000254680.1	ENSG00000272783.1	ENSG00000225937.1	ENSG00000267458.1	ENSG00000259357.2	ENSG00000260896.5	ENSG00000259352.1	ENSG00000233214.1	ENSG00000255498.1	ENSG00000263146.2	ENSG00000274993.1	ENSG00000237361.2	ENSG00000260465.1	ENSG00000269235.1	ENSG00000205861.11	ENSG00000267328.1	ENSG00000263986.1	ENSG00000259457.1	ENSG00000271787.1	ENSG00000258314.3	ENSG00000260802.1	ENSG00000259884.1	ENSG00000267815.1	ENSG00000226465.1	ENSG00000224958.5	ENSG00000277701.4	ENSG00000276888.1	ENSG00000240801.1	ENSG00000229047.1	ENSG00000236666.1	ENSG00000130600.15	ENSG00000225173.1	ENSG00000248408.1	ENSG00000280623.1	ENSG00000273179.1
TCGA-2A-A8VL-01	1	4.007295285	2.722964194	-0.809950824	5.580177936	3.263777263	1.003015751	4.296371294	3.872549166	3.376123314	2.574594196	4.494149971	1.520309927	2.223837449	1.382700176	4.736800791	1.92929502	1.209693479	1.98151481	-8.173975356	4.562017822	5.166160184	3.156284773	2.821059179	2.255194133	2.814482025	3.133211182	2.710481839	3.279629405	8.202440675	4.996904993	1.584455749	4.810309559	0.780237874	2.167158575	5.38746661	1.897670503	6.675356627	2.173020159	2.341098269	4.445379287	-0.180509486	4.237911701	1.689210685	3.346260947	3.842011633	1.249137266	0.813339381	3.886179166	5.859223027	1.723283873
TCGA-CH-5738-01	1	4.445291009	2.148745237	-0.872251747	3.559967564	1.558201344	3.08141531	2.823822242	3.641666491	3.970149703	3.132615369	-1.263403088	0.993640959	1.066863845	-8.925831992	4.427670685	2.511673619	0.08860205	6.473408444	2.764454643	1.092463479	-0.225987312	0.993809265	2.533446754	0.797753197	1.574940306	1.328839403	-0.65889006	0.263157016	-0.595279011	5.733567275	1.231777313	3.642781533	-0.499510682	2.011963182	3.05117613	2.237259543	3.968848716	2.082350081	1.480693983	4.096936381	1.353628996	4.611482852	1.798025978	3.359097762	2.652815734	1.381426465	3.225638409	0.183052367	8.616904325	0.669495959
TCGA-CH-5746-01	1	5.017769556	3.127050758	-0.157993871	2.937029672	2.108434699	1.356768244	3.736531483	2.312455075	6.379777306	2.129036128	3.643068386	1.246821231	1.881584774	2.179493461	5.29278046	2.732769782	0.042451559	3.500640176	3.411242568	3.132331655	2.109365367	1.402082117	1.510924139	2.957682857	0.94269105	1.056911752	2.327022262	2.050740392	5.908821353	5.505286418	2.723990639	4.160100984	-1.191111268	0.67797912	6.683347649	0.560365387	4.677070878	2.051776038	0.959870279	4.828997701	2.480214414	3.430226023	0.610825434	4.283257574	3.401578784	-0.292298446	2.991499366	2.87233669	5.009353404	3.07456848
TCGA-CH-5753-01	1	-4.962148931	1.635136958	6.965828434	-0.113344336	2.565714997	2.320181214	-0.784380341	5.551286045	3.909303579	0.695427774	-1.084800863	0.410443148	-1.434186309	-8.925831992	3.249743743	-0.04265916	1.146699305	8.11761983	-10.22676294	1.592178635	5.833017085	2.281235536	1.269760025	-7.595669759	-0.131327448	0.567048931	4.052532407	1.535645423	1.141833302	1.428255219	-3.177060847	2.057977501	1.455913511	1.111566751	3.608880137	0.03995805	4.458491118	1.989005656	1.640493533	1.285837184	2.775448532	3.618725449	-1.276226984	1.451032253	4.359509382	-1.820380965	3.973001871	0.772870541	6.905639696	0.737008548
TCGA-CH-5762-01	1	-4.962148931	3.053641818	-4.531877976	3.621172767	3.378096858	3.23620288	3.668649924	3.659823699	1.423694	0.534714137	1.090300725	-1.765140813	1.666820302	2.638296784	4.717052656	2.753813316	-0.054264733	7.270000345	-1.289293202	-9.101004459	3.79671313	1.531353823	-0.91945461	1.211058191	1.624457705	0.836907905	-3.397828582	1.773805965	1.289401528	4.432799148	2.834939065	3.466107703	1.217706494	1.97607062	3.748542655	-0.308818103	5.200797479	1.7008609	1.116177601	5.376187861	0.778247174	2.559703103	0.541589552	3.391379131	3.902498692	4.331477597	2.688895558	0.921113101	7.107964018	4.592535737
TCGA-CH-5764-01	1	-4.962148931	-0.941889829	-1.606173648	2.056163502	2.623331966	0.988719802	3.829898399	2.511769346	3.861272476	0.290386695	2.5291951	2.535489186	1.493812331	1.666018988	4.821040407	3.114241778	0.936761877	5.433878768	3.86779875	0.529073279	4.401643146	0.682181563	2.145908809	2.034655124	1.393160547	1.895243289	2.930358406	-0.10780025	0.953981829	2.899422565	-2.743014551	2.948403342	-0.79910561	-5.611712922	4.836041818	2.112202234	3.457670526	1.438922467	0.436758564	4.240521683	1.991454582	1.942540633	-0.442099462	3.458646066	1.367473169	0.274311762	0.837942804	0.595017676	7.420473358	4.253856044
TCGA-CH-5789-01	1	-4.962148931	0.024717731	3.424993082	4.229336988	0.976026256	2.051870747	2.352621011	-1.106599159	2.289666533	-0.633850199	4.50759775	2.640882834	1.427424187	2.317446055	4.605095041	1.609675436	1.077315879	1.772286531	1.524828114	1.6253556	-1.034508115	2.916659762	1.621696504	1.820039555	2.869241813	4.455024769	1.729013184	-0.732856732	2.465528505	6.198567808	1.362937274	2.909719856	0.476666717	-5.611712922	4.168358013	1.834284069	2.636682235	2.483930775	2.302090163	4.508778074	1.531868477	3.40879287	-5.341512159	3.031213703	3.649510632	1.352572784	-0.791309543	3.569325065	4.033610927	2.054265448
TCGA-CH-5792-01	1	-4.962148931	1.143568314	4.667154386	2.048943288	1.712687931	-9.067787159	2.139687279	3.922117545	1.498666919	2.895656193	4.904594404	-0.331139531	2.364364985	1.642885253	4.734889971	1.164794729	-1.9501143	4.857179927	2.401202602	0.780579402	2.166402474	4.886598317	0.658362705	1.43738163	1.182595906	2.282499708	0.738913682	0.181394694	5.781086461	6.441237933	0.779526301	3.981566754	1.666495969	2.020799328	3.576595745	2.687747409	0.276817822	2.237216967	0.224455168	2.846666354	1.273800887	2.27358456	2.142257188	4.01976724	3.259206471	2.138492109	-3.063294469	3.711167978	3.081115578	5.314362062
TCGA-EJ-5496-01	1	-4.962148931	1.842309533	5.346017018	1.456663538	-8.156437464	1.402988281	4.034575193	4.924810475	4.016768126	1.315430016	2.186488586	0.636735282	2.317095688	3.008908647	4.12737759	3.214175389	2.708352035	6.048727263	3.829249143	2.576565975	5.474455685	1.081989147	1.434540807	1.813669097	2.432378032	-0.288038894	1.342709056	1.63104757	4.954149477	3.577990118	1.716997496	3.853263319	0.82942796	1.22540919	4.959384753	0.346500965	4.218969077	2.362632939	2.430339237	3.936674034	2.128730954	2.298480711	1.514938143	3.918275293	2.777535655	-0.25002199	1.322631528	1.020450899	8.330508198	4.002993478
TCGA-EJ-5497-01	1	-4.962148931	1.211467345	4.818718637	3.107537815	2.035673692	2.336398771	-6.45276839	-0.777590541	4.422812577	2.493605135	3.02068539	-4.084487989	2.379847732	1.69991699	4.518944605	2.031936661	0.176908229	6.944856842	3.892357768	0.385340775	6.795122183	3.528275421	2.224717009	0.07462011	0.781736365	0.065394649	3.434592754	1.091967964	5.586760894	4.74352077	0.811635406	1.989463467	3.837545198	0.449335279	2.399575392	1.279503569	1.760837037	0.687549763	1.348952681	3.46930998	1.429260883	0.370245769	0.867088111	3.316506637	2.911835768	-0.403485526	3.542039695	1.029142956	8.488248986	4.662890961
TCGA-EJ-5498-01	1	2.052854204	-7.365087348	-4.050462319	4.758967492	2.065265489	1.373796678	2.28775641	0.295552357	2.546269673	-0.061367936	2.66944463	0.032242851	0.446850192	2.458797892	5.092300425	-8.967620625	2.348294102	5.979205811	3.586678508	1.439379135	2.262751616	1.110735788	0.790077108	-7.595669759	1.232390973	1.845801898	-1.893299829	-1.115231605	5.236646031	1.520108512	4.473506838	-4.175003383	0.150872306	0.449335279	1.277663195	2.85902665	3.570012723	2.384221957	1.463353263	4.88340148	0.41447478	2.441773968	2.807640982	2.748455955	2.719078736	4.199892126	-0.155371179	2.214701365	7.090449058	2.12756483
TCGA-EJ-5501-01	1	-4.962148931	0.982085599	-2.61085404	1.435447215	0.284796693	-1.309488189	-6.45276839	2.985828121	2.001883538	2.788229005	2.459892913	0.32114313	1.440912944	1.677349796	5.217446268	1.88027489	2.256729004	-1.72934827	4.506937144	1.226922918	4.500764925	2.535193595	-1.411592529	1.348023041	1.76810444	2.783947123	1.910684503	-3.051320493	2.172652849	5.849114173	-0.21685937	4.505686287	3.102973076	1.043480478	2.414002849	0.560365387	0.874817452	0.923656249	2.151924346	3.528594846	1.273800887	1.298048554	0.377491522	2.651696355	1.983177983	3.595127417	-2.575679007	2.254436484	5.164758863	3.844415037
TCGA-EJ-5502-01	1	2.283671478	1.529516242	3.507884509	3.344805171	-8.156437464	-1.377692025	-6.45276839	2.068837215	2.718919289	-0.284658444	2.038424566	4.47271079	-0.457483001	1.976671988	5.215169164	0.908749612	-3.246848492	7.430151434	4.05964092	-2.24079116	2.877484885	2.56111848	2.545460871	1.643388472	2.34694895	1.218268593	2.431910354	-6.417062289	4.182910249	6.720800841	0.899218724	4.001967	1.212883158	-0.370919362	0.789376544	1.633676191	1.216422515	1.327108824	2.013319009	2.934525915	-2.210061613	4.138081613	2.232473639	2.127926922	4.114504816	7.312918998	1.43165252	0.334446991	8.422647501	3.96421181
